"simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
1,4.38492820934546,2.39025861523867,3.9330799620946,3.00354903311151,4.01406345103919,2.88505328812732,4.1754212787896,2.76120771641651
2,3.22924970736025,1.81768845083816,4.268626160933,-1.8446207894315,3.0641765868149,1.93516642390303,1.9191094669373,0.504895904564207
3,4.14789542129571,2.39658910339321,3.67386340459994,3.05414306223079,3.93204604216038,2.80303587924851,4.07111001460191,2.65689645222882
4,4.01998091979141,1.98629895300785,3.44970189483165,2.65936882401701,3.61183603592022,2.48282587300835,3.76164214061087,2.34742857823778
5,3.83914236152285,1.85543061138669,4.31161503475157,2.29043339728027,3.61252826296407,2.4835181000522,4.00813099720247,2.59391743482938
6,3.88347986415603,1.85197785349636,3.34287776677101,2.14244939636088,3.35941546464192,2.23040530173005,3.44977036275249,2.0355568003794
7,4.25801095443244,2.20992836829837,3.66784653240182,2.8858266001438,3.83503152895834,2.70602136604647,3.98394334745936,2.56972978508626
8,3.99626380304608,2.07440704813866,3.3967908038495,2.74252963649948,3.63360979440651,2.50459963149464,3.77676700136103,2.36255343898794
9,3.93608262546601,1.92944248499348,3.33583076018452,2.0697707985163,3.35698020039407,2.2279700374822,3.40990756053696,1.99569399816387
10,4.3034927302299,2.26478450852674,3.69115991953502,2.85815387006734,3.83931959518382,2.71030943227195,3.98176367598773,2.56755011361463
11,4.0257265509562,1.98916839093395,3.74952027800193,2.24581290342586,3.5902619735067,2.46125181059483,3.70477337190044,2.29055980952735
12,4.04792639448226,2.08245295843632,3.39246537503384,2.52900828895659,3.55415408335588,2.42514392044401,3.66784361318176,2.25363005080867
13,4.20884008375399,2.19133571323871,3.53266209470644,2.78516982721779,3.72929142319606,2.6002812602842,3.86602274214866,2.45180917977556
14,4.02668262211099,2.13820140209517,3.56962417073586,2.09012853874063,3.54236898251458,2.41335881960271,3.53698313592479,2.1227695735517
15,3.77634267045976,1.76767742066168,3.45017409566133,2.41406506422792,3.44626669077181,2.31725652785994,3.63922636113117,2.22501279875808
16,3.91431023876177,1.88196889307858,3.21710829769703,2.39183515237124,3.38470706728492,2.25569690437305,3.51157850622068,2.09736494384759
17,4.01405723289884,2.15081753560475,3.38034830481937,2.71293478867299,3.60603513606033,2.47702497314846,3.75374832793273,2.33953476555963
18,3.81622440329859,2.1240028087639,3.34694545088471,2.48986688383501,3.51722733491745,2.38821717200559,3.62551294854641,2.21129938617331
19,4.0032790201743,1.98508280055922,3.41639668275377,2.41826351620157,3.49755921710762,2.36854905419575,3.62443688066422,2.21022331829112
20,3.96338391935406,2.13923313686957,3.41765701791655,2.69644392421842,3.63280624083011,2.50379607791824,3.76415725225403,2.34994368988094
21,4.36307117401284,2.4894528642836,3.74272585450318,3.04371002022794,3.9521057916742,2.82309562876234,4.10032471855211,2.68611115617901
22,4.52333403892497,2.49094608266828,4.08947438609769,3.15817186497797,4.15770830420675,3.02869814129488,4.33092990672438,2.91671634435128
23,3.90890836554324,1.88623440167795,3.27977343892937,2.41515181932771,3.42925857805963,2.30024841514777,3.55456941031509,2.14035584794199
24,4.17104507130765,2.16939521626159,3.9715512287283,2.10663617837381,3.73542262327369,2.60641246036182,3.7462004847376,2.33198692236451
25,3.69031338654268,1.74110128281304,3.08423465010375,1.34958120946242,2.99564313001937,1.86663296710751,2.92401471096963,1.50980114859654
26,3.46773165734322,1.44309306536528,2.82517388121631,1.97673889788053,2.97436694710927,1.8453567841974,3.10806317073497,1.69384960836187
27,4.08541332333955,2.05576548258732,3.42333213029202,2.57313842517959,3.57539119965271,2.44638103674084,3.70534205892236,2.29112849654926
28,4.11442742119479,2.09802017885429,3.45130120810151,2.59326811022265,3.60339913257157,2.4743889696597,3.72939144034863,2.31517787797554
29,4.3904175270511,2.37541465588137,3.96948032062665,2.98378826215736,4.02746279067626,2.89845262776439,4.18374107257855,2.76952751020546
30,3.97211232357047,1.93297973396687,3.40507317210936,2.58219116510762,3.55183813890592,2.42282797599405,3.70073894979504,2.28652538742194
31,3.76709156935845,1.75791909442916,3.18609468098152,2.39756377366718,3.350658279472,2.22164811656013,3.49893600851089,2.0847224461378
32,4.10045223385857,2.0884709496932,3.69728468267768,2.61186878717143,3.6864659816418,2.55745581872994,3.86168351611111,2.44746995373801
33,3.86292166641769,1.84060806777679,3.92769635427441,2.20666478919588,3.47434321825693,2.34533305534506,3.7742873529217,2.3600737905486
34,4.04953371066667,2.02888359175208,3.46390970451749,2.69580836544781,3.63404308887868,2.50503292596681,3.7869658161692,2.3727522537961
35,3.99408899901699,1.96752906557008,3.54135192115686,2.52764351800051,3.58160702670494,2.45259686379307,3.74160450076523,2.32739093839214
36,3.95364259240529,1.91479167983729,3.35723395761072,2.56794839709851,3.52190582239599,2.39289565948413,3.66969795854116,2.25548439616807
37,3.96645807169221,1.97294848711418,3.61399215993468,2.58379792057214,3.63216771456383,2.50315755165196,3.80600182143996,2.39178825906686
38,4.09464069039934,2.12859063885268,3.45971887566892,2.75623497607805,3.66840365001904,2.53939348710717,3.81508370706003,2.40087014468694
39,4.18303072634615,2.19829652001985,3.95634323096056,2.93112918054658,3.95042241094462,2.82141224803275,4.15084298694012,2.73662942456702
40,4.25671915056036,2.22147685634393,3.59986201517856,2.82559447208196,3.78380530931503,2.65479514640316,3.91983502481681,2.50562146244371
41,3.69754354382478,1.69774958446429,2.9945333910327,2.15407508572442,3.15523754256293,2.02622737965106,3.28141101956511,1.86719745719201
42,3.92894236081708,2.13660768895656,3.40450455074536,2.60099595075375,3.59149566769233,2.46248550478046,3.7098570319361,2.29564346956301
43,3.79392533539965,1.75326228032784,3.17115577912475,2.41272607050248,3.35337291411901,2.22436275120714,3.49904770600016,2.08483414362707
44,3.74998952676555,1.93704772060397,3.21437402529386,2.4890058580372,3.42746329565828,2.29845313274641,3.55879672285208,2.14458316047899
45,3.83476016533924,1.83647383228567,3.19977493432261,2.47256722583849,3.40263048958537,2.2736203266735,3.54327786126709,2.129064298894
46,4.09432396007122,2.07052426838789,3.84599407798639,2.72914979829723,3.7908332832476,2.66182312033573,3.99467871932836,2.58046515695526
47,3.96666043151304,1.93570293396538,3.32024004205423,2.3679634135552,3.43544470330794,2.30643454039608,3.55120850899127,2.13699494661817
48,3.78032782054127,1.87662659092801,3.22752005565475,2.1864752258289,3.33514468140617,2.20613451849431,3.41410442192837,1.99989085955527
49,4.12300020871974,2.09548063233538,3.45971644869091,2.72064791686324,3.65601272065103,2.52700255773916,3.79728896396362,2.38307540159053
50,4.007543571265,2.01272662049298,3.64646700645008,1.5425461951241,3.42503478611817,2.29602462320631,3.30161338197364,1.88739981960055
51,3.75604650084551,1.96435098497289,3.23117056385758,2.56880461861354,3.46774937402344,2.33873921111157,3.60709437242211,2.19288081004901
52,3.99003005124792,1.99497756058721,3.61694355460202,2.6360471711323,3.64231500395425,2.51330484104238,3.8336021440537,2.41938858168061
53,4.06528228287746,2.04139541983839,3.50994926338261,2.69741631215879,3.66111216611507,2.5321020032032,3.81078956895725,2.39657600658416
54,4.05630916534118,2.25915964733443,3.40465067606213,2.7591008001141,3.64363147402381,2.51462131111194,3.78898251927466,2.37476895690157
55,4.51047779857971,2.57693591443419,3.8583415160243,3.1747773393817,4.07954655184941,2.95053638893754,4.22366620888955,2.80945264651645
56,4.13116954372256,2.16412917826752,3.5088333728308,2.64335832947476,3.67013574288181,2.54112557996994,3.78320263233933,2.36898906996623
57,4.25333979283336,2.24196079467456,3.63122667606118,2.82340633382601,3.79882084151276,2.66981067860089,3.93442328613014,2.52020972375705
58,4.08617394883768,2.06720634446837,3.48614736000999,2.64457187431965,3.63091324307074,2.50190308015887,3.77246639835137,2.35825283597827
59,4.34921164008941,2.30188276907847,3.70486970065877,2.82078705427066,3.84336016826281,2.71435000535094,3.96993515865126,2.55572159627817
60,4.09320215540331,2.07601162658251,3.62455381328095,2.44983674401387,3.62216208337322,2.49315192046135,3.74430205983396,2.33008849746086
61,4.30153813574782,2.26215708060162,3.69112086890552,2.74831090769279,3.8096957487086,2.68068558579673,3.9268226694857,2.5126091071126
62,3.4590892591208,1.54374326458854,2.8782310734828,2.02031901663873,3.03739698891979,1.90838682600792,3.15638182624731,1.74216826387422
63,4.17363302747029,2.17751854881009,4.62329709201463,2.52785121842355,3.87402750926796,2.74501734635609,4.28268093640564,2.86846737403254
